Ação,Título,URL,Data,Horário,Sentimento antes PLN,Sentimento depois PLN,Preço anterior,Preço,Preço Posterior 
JBSS3.SA,Ibovespa fecha em queda com volume reduzido; Yduqs sobe 7%,https://br.investing.com/news/stock-market-news/ibovespa-fecha-em-queda-com-volume-reduzido-yduqs-sobe-7-1132959,2023-07-18,17:08,-0.9866,0.4215,18.74,18.22,18.21
JBSS3.SA,Ibovespa avança com exterior favorável após dados dos EUA; JBS dispara 7%,https://br.investing.com/news/stock-market-news/ibovespa-avanca-com-exterior-favoravel-apos-dados-dos-eua-jbs-dispara-7-1131022,2023-07-12,10:24,-0.9075,0.7269,17.24,18.8,19.32
JBSS3.SA,JBS dispara após retomar plano de listar ações em NY,https://br.investing.com/news/stock-market-news/jbs-dispara-apos-retomar-plano-de-listar-acoes-em-ny-1131033,2023-07-12,10:35,-0.8402,0.0,17.24,18.8,19.32
JBSS3.SA,"Ações: JBS, B3 e Petz lideram altas do Ibovespa, índice sobe",https://br.investing.com/news/stock-market-news/acoes-jbs-b3-e-petz-lideram-altas-do-ibovespa-indice-sobe-1131025,2023-07-12,10:31,-0.9273,0.6588,17.24,18.8,19.32
JBSS3.SA,Abertura de mercado: o que esperar do Ibovespa e dólar nesta 4ª-feira,https://br.investing.com/news/stock-market-news/abertura-de-mercado-o-que-esperar-do-ibovespa-e-dolar-nesta-4afeira-1130980,2023-07-12,09:17,-0.9465,0.6767,17.24,18.8,19.32
JBSS3.SA,"Frigoríficos: Com preços de exportação em baixa, resultados podem ser afetados",https://br.investing.com/news/general/frigorificos-com-precos-de-exportacao-em-baixa-resultados-podem-ser-afetados-1130766,2023-07-11,16:03,-0.9153,0.2023,17.57,17.24,18.8
JBSS3.SA,Reforma tributária pode afetar setores e ações de forma distinta; entenda,https://br.investing.com/news/stock-market-news/reforma-tributaria-pode-afetar-setores-e-acoes-de-forma-distinta-entenda-1130317,2023-07-10,13:45,-0.8679,-0.0258,17.75,17.57,17.24
JBSS3.SA,Vale (VALE3) e Assaí (ASAI3) são ações mais recomendadas da semana; veja lista,https://br.investing.com/news/general/vale-vale3-e-assai-asai3-sao-acoes-mais-recomendadas-da-semana-veja-lista-1130373,2023-07-10,15:49,0.0,0.0,17.75,17.57,17.24
JBSS3.SA,"Exportação de carne bovina do Brasil recua 3,8% no 1º semestre com impacto da China",https://br.investing.com/news/commodities-news/exportacao-de-carne-bovina-do-brasil-recua-38-no-1o-semestre-com-impacto-da-china-1130324,2023-07-10,13:52,-0.9413,0.0,17.75,17.57,17.24
JBSS3.SA,"Ibovespa sobe 0,40%, aos 119,5 mil pontos, na contramão de Nova York",https://br.investing.com/news/stock-market-news/ibovespa-sobe-040-aos-1195-mil-pontos-na-contramao-de-nova-york-1129055,2023-07-05,20:01,-0.9709,0.6705,17.54,18.18,17.64
